category,model,pet_name,colors_kr,colors_en,capacities,paths,images,colors_code,company,capacity,network_type,form_link,subsidy,category_kr,video_link,plan_id,is_available,price,priority,thumbnail,release_date
aip13,aip13-128,iPhone 13 128G,"[""스타라이트"",""미드나이트""]","[""starlight"",""midnight""]","[""128GB""]","[""aip13-128""]","{""midnight"":[""01"",""02""],""starlight"":[""01"",""02""]}","[""#FFFFFF"",""#000000""]",apple,128GB,5G,https://online.kt.com/index.jsp?prdcID=96C9A825-861B-4F64-843B-D10BAD512D5A,,아이폰 13,,ppllistobj_0937,TRUE,748000,0,starlight,2025-04-18
aip15,aip15-512,iPhone 15 512G,"[""블랙"",""블루"",""그린"",""핑크"",""옐로""]","[""black"",""blue"",""green"",""pink"",""yellow""]","[""128GB"",""256GB"",""512GB""]","[""aip15-128"",""aip15-256"",""aip15-512""]","{""blue"":[""01"",""02"",""03""],""pink"":[""01"",""02"",""03""],""black"":[""01"",""02"",""03""],""green"":[""01"",""02"",""03""],""yellow"":[""01"",""02"",""03""]}","[""#404040"",""#C7D8DD"",""#C5D8BA"",""#E8CDD0"",""#EAE2B7""]",apple,512GB,5G,https://online.kt.com/index.jsp?prdcID=E35F7B90-6FAA-4914-81F5-91655AEC5F2D,,아이폰 15,https://youtu.be/eDqfg_LexCQ?si=cqWw0owuavDT9fKp,ppllistobj_0937,TRUE,1474000,0,yellow,2023-10-13
aip15p,aip15p-128,iPhone 15 Pro 128G,"[""블랙 티타늄"",""블루 티타늄"",""내추럴 티타늄"",""화이트 티타늄""]","[""black_titanium"",""blue_titanium"",""natural_titanium"",""white_titanium""]","[""128GB"",""256GB"",""512GB"",""1TB""]","[""aip15p-128"",""aip15p-256"",""aip15p-512"",""aip15p-1tb""]","{""blue_titanium"":[""01"",""02"",""03""],""black_titanium"":[""01"",""02"",""03""],""white_titanium"":[""01"",""02"",""03""],""natural_titanium"":[""01"",""02"",""03""]}","[""#3F4042"",""#3D4454"",""#BBB5A9"",""#F2F1EC""]",apple,128GB,5G,https://online.kt.com/index.jsp?prdcID=24745C03-43A4-4838-B952-613037D367E3,,아이폰 15,,ppllistobj_0937,TRUE,1320000,0,blue_titanium,2023-10-13
aip15p,aip15p-512,iPhone 15 Pro 512G,"[""블랙 티타늄"",""블루 티타늄"",""내추럴 티타늄"",""화이트 티타늄""]","[""black_titanium"",""blue_titanium"",""natural_titanium"",""white_titanium""]","[""128GB"",""256GB"",""512GB"",""1TB""]","[""aip15p-128"",""aip15p-256"",""aip15p-512"",""aip15p-1tb""]","{""blue_titanium"":[""01"",""02"",""03""],""black_titanium"":[""01"",""02"",""03""],""white_titanium"":[""01"",""02"",""03""],""natural_titanium"":[""01"",""02"",""03""]}","[""#3F4042"",""#3D4454"",""#BBB5A9"",""#F2F1EC""]",apple,512GB,5G,https://online.kt.com/index.jsp?prdcID=24745C03-43A4-4838-B952-613037D367E3,,아이폰 15,,ppllistobj_0937,TRUE,1771000,0,blue_titanium,2023-10-13
aip15pm,aip15pm-256,iPhone 15 Pro Max 256G,"[""블랙 티타늄"",""블루 티타늄"",""내추럴 티타늄"",""화이트 티타늄""]","[""black_titanium"",""blue_titanium"",""natural_titanium"",""white_titanium""]","[""256GB"",""512GB"",""1TB""]","[""aip15pm-256"",""aip15pm-512"",""aip15pm-1tb""]","{""blue_titanium"":[""01"",""02"",""03""],""black_titanium"":[""01"",""02"",""03""],""white_titanium"":[""01"",""02"",""03""],""natural_titanium"":[""01"",""02"",""03""]}","[""#3F4042"",""#3D4454"",""#BBB5A9"",""#F2F1EC""]",apple,256GB,5G,https://online.kt.com/index.jsp?prdcID=8718910D-B977-43AB-998A-06DB006D0D4E,,아이폰 15,,ppllistobj_0937,TRUE,1672000,0,black_titanium,2023-10-13
aip15pm,aip15pm-512,iPhone 15 Pro Max 512G,"[""블랙 티타늄"",""블루 티타늄"",""내추럴 티타늄"",""화이트 티타늄""]","[""black_titanium"",""blue_titanium"",""natural_titanium"",""white_titanium""]","[""256GB"",""512GB"",""1TB""]","[""aip15pm-256"",""aip15pm-512"",""aip15pm-1tb""]","{""blue_titanium"":[""01"",""02"",""03""],""black_titanium"":[""01"",""02"",""03""],""white_titanium"":[""01"",""02"",""03""],""natural_titanium"":[""01"",""02"",""03""]}","[""#3F4042"",""#3D4454"",""#BBB5A9"",""#F2F1EC""]",apple,512GB,5G,https://online.kt.com/index.jsp?prdcID=4C20F1AC-613E-44EE-8593-EB8D0F88E525,,아이폰 15,,ppllistobj_0937,TRUE,1980000,0,blue_titanium,2023-10-13
aip15ps,aip15ps-128,iPhone 15 Plus 128G,"[""블랙"",""블루"",""그린"",""핑크"",""옐로""]","[""black"",""blue"",""green"",""pink"",""yellow""]","[""128GB"",""256GB"",""512GB""]","[""aip15ps-128"",""aip15ps-256"",""aip15ps-512""]","{""blue"":[""01"",""02"",""03""],""pink"":[""01"",""02"",""03""],""black"":[""01"",""02"",""03""],""green"":[""01"",""02"",""03""],""yellow"":[""01"",""02"",""03""]}","[""#404040"",""#C7D8DD"",""#C5D8BA"",""#E8CDD0"",""#EAE2B7""]",apple,128GB,5G,https://online.kt.com/index.jsp?prdcID=21313056-A46E-4423-9B3E-03414F62EBF7,,아이폰 15,https://youtu.be/eDqfg_LexCQ?si=cqWw0owuavDT9fKp,ppllistobj_0937,TRUE,1122000,0,black,2023-10-13
aip15ps,aip15ps-256,iPhone 15 Plus 256G,"[""블랙"",""블루"",""그린"",""핑크"",""옐로""]","[""black"",""blue"",""green"",""pink"",""yellow""]","[""128GB"",""256GB"",""512GB""]","[""aip15ps-128"",""aip15ps-256"",""aip15ps-512""]","{""blue"":[""01"",""02"",""03""],""pink"":[""01"",""02"",""03""],""black"":[""01"",""02"",""03""],""green"":[""01"",""02"",""03""],""yellow"":[""01"",""02"",""03""]}","[""#404040"",""#C7D8DD"",""#C5D8BA"",""#E8CDD0"",""#EAE2B7""]",apple,256GB,5G,https://online.kt.com/index.jsp?prdcID=DF5D30DE-A64E-4CF0-BC74-82A4355A79A8,,아이폰 15,https://youtu.be/eDqfg_LexCQ?si=cqWw0owuavDT9fKp,ppllistobj_0937,TRUE,1276000,0,green,2023-10-13
aip15ps,aip15ps-512,iPhone 15 Plus 512G,"[""블랙"",""블루"",""그린"",""핑크"",""옐로""]","[""black"",""blue"",""green"",""pink"",""yellow""]","[""128GB"",""256GB"",""512GB""]","[""aip15ps-128"",""aip15ps-256"",""aip15ps-512""]","{""blue"":[""01"",""02"",""03""],""pink"":[""01"",""02"",""03""],""black"":[""01"",""02"",""03""],""green"":[""01"",""02"",""03""],""yellow"":[""01"",""02"",""03""]}","[""#404040"",""#C7D8DD"",""#C5D8BA"",""#E8CDD0"",""#EAE2B7""]",apple,512GB,5G,https://online.kt.com/index.jsp?prdcID=8AF7EB0D-3802-403E-82B3-DE7CC3763AB6,,아이폰 15,https://youtu.be/eDqfg_LexCQ?si=cqWw0owuavDT9fKp,ppllistobj_0937,TRUE,1573000,0,pink,2023-10-13
aip16,aip16-128,iPhone 16 128GB,"[""블랙"",""울트라마린"",""틸"",""핑크"",""화이트""]","[""black"",""ultramarine"",""teal"",""pink"",""white""]","[""128GB"",""256GB"",""512GB""]","[""aip16-128"",""aip16-256"",""aip16-512""]","{""pink"":[""01"",""02"",""03""],""teal"":[""01"",""02"",""03""],""black"":[""01"",""02"",""03""],""white"":[""01"",""02"",""03""],""ultramarine"":[""01"",""02"",""03""]}","[""#404040"",""#8397E0"",""#95D4D2"",""#ECA1D1"",""#F6F6F4""]",apple,128GB,5G,https://online.kt.com/index.jsp?prdcID=2A3C0A89-C66F-4F3C-8952-8D880A423442,,아이폰 16,https://youtu.be/GDlkCkcIqTs?si=U6ruJSExfl7jiFC5,ppllistobj_0937,TRUE,1023000,1,black,2024-09-20
